,Company,Overall,Work/Life Balance ,Salary/Benefits ,Job Security/Advancement ,Management ,Culture 
378,Genesiscare,4.3,3.1,3.3,2.8,3.3,3.5
379,Robert Walters,3.8,3.4,3.6,3.0,3.2,3.5
380,Torrens University Australia,4.1,3.6,3.4,3.7,3.5,3.6
381,UGL Limited,3.9,4.2,3.8,3.2,3.5,3.9
382,BIS,4.0,4.8,4.3,4.0,5.0,5.0
383,Employers Mutual,3.9,3.4,3.4,2.8,3.1,3.1
384,PepsiCo,4.0,4.0,4.3,3.4,3.5,3.9
385,Tiger & Co Recruitment,3.8,3.5,3.8,3.9,3.4,3.4
386,Broadspectrum,3.6,3.5,3.7,2.6,2.5,2.9
387,Australian Prudential Regulation Authority (APRA),4.3,3.5,3.1,3.0,3.3,3.4
388,HomeAway,3.8,3.6,3.2,3.7,3.4,3.7
389,Softlabs Pty Ltd,3.7,3.8,3.6,3.4,3.4,3.7
390,Brisbane City Council,3.6,3.7,3.9,3.2,3.2,3.4
391,Cardno,4.0,2.6,2.9,3.1,2.5,2.7
392,Canon,3.7,3.0,5.0,2.0,2.0,2.0
393,IAG,3.6,4.1,4.1,3.5,3.7,4.0
394,Aston Carter,3.0,3.4,3.5,3.1,3.1,3.3
395,Hanson,3.5,3.3,4.2,3.3,2.7,3.0
396,IFAA,3.9,5.0,5.0,5.0,5.0,5.0
397,Paxus,4.0,3.8,3.4,2.7,3.1,3.8
398,Reliable Resourcing,4.1,4.1,3.9,3.6,3.6,3.9
399,Novartis,5.0,3.9,4.0,3.2,3.4,3.7
400,The Athlete's Foot,3.0,3.6,3.2,3.5,3.3,3.6
401,GMT People,5.0,3.9,3.5,3.1,3.3,3.6
